2M 0746+20 b,9534.85,10.87,2.897,4640.00
2M 2140+16 b,6356.57,10.31,3.530,7340.00
2M 2206-20 b,9534.85,14.57,4.480,8686.00
51 Eri b,635.66,11.21,14.000,15000.00
55 Cancri e,7.98,1.88,0.015,0.74
AU Mic b,57.21,4.20,0.066,8.46
BD+20 594 b,16.30,2.23,0.241,41.69
BD+45 564 b,432.25,13.56,0.830,307.88
BD+55 362 b,228.84,14.01,0.780,265.59
BD+63 1405 b,1258.60,13.00,2.060,1198.48
CFHTWIR-Oph 98 A b,2479.06,20.85,200.000,8040000.00
CoRoT-10 b,874.03,10.87,0.105,13.24
CoRoT-11 b,791.39,15.58,0.044,2.99
CoRoT-12 b,291.45,16.14,0.040,2.83
CoRoT-13 b,415.72,9.92,0.051,4.04
CoRoT-14 b,2415.50,12.22,0.027,1.51
CoRoT-16 b,168.45,13.11,0.062,5.35
CoRoT-17 b,778.68,11.43,0.046,3.77
CoRoT-18 b,1102.86,14.68,0.029,1.90
CoRoT-19 b,352.79,16.25,0.052,3.90
CoRoT-1 b,327.36,16.70,0.025,1.51
CoRoT-20 b,1366.66,9.42,0.090,9.24
CoRoT-21 b,718.29,14.57,0.042,2.72
CoRoT-22 b,12.20,4.88,0.092,9.76
CoRoT-23 b,889.92,11.77,0.048,3.63
CoRoT-24 c,27.97,4.93,0.098,11.76
CoRoT-25 b,85.81,12.11,0.058,4.86
CoRoT-26 b,165.27,14.12,0.053,4.20
CoRoT-27 b,3302.24,11.29,0.048,3.58
CoRoT-28 b,153.83,10.70,0.059,5.21
CoRoT-29 b,270.15,10.87,0.036,2.85
CoRoT-2 b,1052.01,16.42,0.028,1.74
CoRoT-30 b,921.70,11.31,0.084,9.06
CoRoT-31 b,266.98,16.37,0.059,4.63
CoRoT-3 b,6884.16,11.32,0.057,4.26
CoRoT-4 b,228.84,13.34,0.090,9.20
CoRoT-5 b,148.43,15.56,0.049,4.04
CoRoT-6 b,940.77,13.07,0.086,8.89
CoRoT-7 b,4.80,1.68,0.017,0.85
CoRoT-8 b,69.92,6.39,0.063,6.21
CoRoT-9 b,266.98,11.77,0.407,95.27
CoRoTID 223977153 b,47.67,6.39,0.071,6.72
EPIC 201505350 c,15.89,4.86,0.097,11.91
EPIC 201505350 b,43.86,7.75,0.074,7.92
EPIC 201912552 b,7.96,2.38,0.143,32.94
EPIC 203771098 b,20.98,5.83,0.154,20.89
EPIC 203771098 c,27.02,8.10,0.247,42.36
EPIC 204221263 b,12.01,1.55,0.051,4.02
EPIC 204221263 c,9.85,2.42,0.096,10.56
K2-33 b,1144.18,5.06,0.041,5.43
K2-29 b,232.01,13.34,0.042,3.26
EPIC 211391664 b,32.10,4.26,0.094,10.14
K2-99 b,308.29,14.46,0.159,18.25
EPIC 216468514 b,266.98,16.14,0.048,3.31
EPIC 218916923 b,121.09,9.10,0.181,28.38
EPIC 220504338 b,406.82,10.20,0.058,5.82
EPIC 228735255 b,323.87,12.27,0.059,6.57
EPIC 228754001 b,157.33,12.21,0.092,9.17
EPIC 22881391 b,222.48,0.89,0.006,0.18
EPIC 246193072 b,82.64,8.68,0.102,12.46
EPIC 246851721 b,953.49,11.78,0.072,6.18
EPIC 248847494 b,4131.77,12.44,4.500,3650.00
EPIC 249893012 b,8.75,1.95,0.047,3.60
EPIC 249893012 c,14.67,3.67,0.130,15.62
EPIC 249893012 d,10.18,3.95,0.220,35.75
Gaia-2 b,245.68,14.87,0.047,3.69
GJ 1132 b,1.66,1.13,0.015,1.63
GJ 1148 c,68.06,9.71,0.912,532.58
GJ 1148 b,96.70,11.99,0.166,41.38
GJ 1252 b,2.09,1.19,0.009,0.52
GJ 143 b,22.70,2.61,0.192,35.61
GJ 143 c,3.70,0.90,0.070,7.79
GJ 3473 b,1.86,1.27,0.016,1.20
GJ 357 b,1.84,1.22,0.035,3.93
GJ 367 b,0.55,0.72,0.007,0.32
GJ 3929 b,1.21,1.15,0.026,2.62
GJ 411 b,2.69,1.45,0.079,12.95
GJ 411 c,18.05,4.44,3.100,3190.00
GJ 486 b,2.82,1.31,0.017,1.47
GJ 720 A b,13.64,3.77,0.119,19.47
GJ 9827 b,4.91,1.58,0.019,1.21
GJ 9827 c,0.84,1.24,0.039,3.65
GJ 9827 d,4.04,2.02,0.056,6.20
Gliese 1214 b,8.17,2.74,0.014,1.58
Gliese 3470 b,13.73,3.88,0.031,3.34
Gliese 436 b,25.40,4.05,0.029,2.64
HAT-P-11 b,23.40,4.36,0.053,4.89
HAT-P-12 b,67.06,10.75,0.038,3.21
HAT-P-13 b,270.15,14.35,0.043,2.92
HAT-P-14 b,699.22,13.45,0.059,4.63
HAT-P-15 b,618.49,12.02,0.096,10.86
HAT-P-16 b,1332.65,13.34,0.041,2.78
HAT-P-17 b,169.72,11.32,0.088,10.34
HAT-P-18 b,62.29,10.61,0.056,5.51
HAT-P-19 b,92.81,12.43,0.047,4.01
HAT-P-1 b,166.54,13.64,0.055,4.47
HAT-P-20 b,2302.98,9.72,0.036,2.88
HAT-P-21 b,1291.34,11.48,0.049,4.12
HAT-P-22 b,682.38,12.11,0.041,3.21
HAT-P-23 b,664.26,15.33,0.023,1.21
HAT-P-24 b,217.71,13.92,0.046,3.36
HAT-P-25 b,180.21,13.34,0.047,3.65
HAT-P-26 b,18.75,6.33,0.048,4.23
HAT-P-27 b,197.05,11.43,0.040,3.04
HAT-P-28 b,198.96,13.59,0.043,3.26
HAT-P-29 b,247.27,12.41,0.067,5.72
HAT-P-2 b,2777.82,10.66,0.067,5.63
HAT-P-30 b,225.98,15.02,0.042,2.81
HAT-P-31 b,690.01,11.99,0.055,5.01
HAT-P-32 b,299.08,22.83,0.034,2.15
HAT-P-33 b,242.50,20.48,0.050,3.47
HAT-P-34 b,1057.73,13.42,0.068,5.45
HAT-P-35 b,334.99,14.93,0.050,3.65
HAT-P-36 b,587.41,14.31,0.024,1.33
HAT-P-37 b,371.54,13.20,0.038,2.80
HAT-P-38 b,84.86,9.25,0.052,4.64
HAT-P-39 b,190.38,17.61,0.051,3.54
HAT-P-3 b,187.84,9.27,0.039,2.90
HAT-P-40 b,195.46,19.39,0.061,4.46
HAT-P-41 b,254.26,18.89,0.043,2.69
HAT-P-42 b,309.88,14.31,0.058,4.64
HAT-P-43 b,209.77,14.38,0.044,3.33
HAT-P-45 b,283.50,15.98,0.045,3.13
HAT-P-47 b,65.47,14.72,0.061,4.73
HAT-P-48 b,53.40,12.68,0.054,4.41
HAT-P-4 b,216.12,14.24,0.045,3.06
HAT-P-50 b,429.07,14.44,0.045,3.12
HAT-P-51 b,98.21,14.49,0.051,4.22
HAT-P-52 b,259.98,11.31,0.037,2.75
HAT-P-53 b,471.66,14.77,0.032,1.96
HAT-P-56 b,692.87,16.43,0.042,2.79
HAT-P-58 b,118.23,14.93,0.050,4.01
HAT-P-59 b,489.46,12.59,0.051,4.14
HAT-P-5 b,336.90,14.03,0.041,2.79
HAT-P-60 b,182.43,18.28,0.063,4.79
HAT-P-61 b,335.94,10.08,0.030,1.90
HAT-P-62 b,241.87,12.03,0.038,2.65
HAT-P-63 b,195.15,12.54,0.043,3.38
HAT-P-64 b,184.34,19.09,0.054,4.01
HAT-P-65 b,167.50,21.18,0.040,2.61
HAT-P-66 b,248.86,17.82,0.044,2.97
HAT-P-67 b,108.06,23.37,0.065,4.81
HAT-P-68 b,230.11,12.02,0.030,2.30
HAT-P-69 b,1137.83,18.79,0.066,4.79
HAT-P-6 b,335.94,14.91,0.052,3.85
HAT-P-70 b,2154.88,20.96,0.047,2.74
HAT-P-7 b,543.17,16.35,0.038,2.20
HAT-P-8 b,405.23,14.81,0.044,3.08
HAT-P-9 b,238.05,15.61,0.053,3.92
HATS-10 b,167.18,10.86,0.045,3.31
HATS-11 b,270.15,16.93,0.046,3.62
HATS-12 b,762.79,15.13,0.048,3.14
HATS-13 b,172.58,13.59,0.041,3.04
HATS-14 b,340.08,11.66,0.038,2.77
HATS-15 b,689.69,12.39,0.027,1.75
HATS-16 b,1039.30,14.57,0.037,2.69
HATS-17 b,425.25,8.71,0.131,16.25
HATS-18 b,629.14,14.90,0.017,0.84
HATS-19 b,135.71,18.61,0.059,4.57
HATS-1 b,589.57,14.59,0.044,3.45
HATS-20 b,86.77,8.70,0.046,3.80
HATS-21 b,105.52,12.59,0.047,3.55
HATS-22 b,870.85,10.68,0.050,4.72
HATS-23 b,467.21,20.85,0.034,2.16
HATS-24 b,718.29,15.64,0.024,1.35
HATS-25 b,194.83,14.12,0.052,4.30
HATS-26 b,206.59,19.62,0.047,3.30
HATS-27 b,168.45,16.81,0.061,4.64
HATS-28 b,213.58,13.38,0.041,3.18
HATS-29 b,207.54,14.02,0.055,4.61
HATS-2 b,427.48,13.09,0.023,1.35
HATS-30 b,224.39,13.17,0.044,3.17
HATS-31 b,279.69,18.38,0.048,3.38
HATS-32 b,292.40,14.00,0.040,2.81
HATS-33 b,378.85,13.79,0.037,2.55
HATS-34 b,299.08,16.03,0.032,2.11
HATS-35 b,388.39,16.41,0.032,1.82
HATS-36 b,886.74,14.16,0.053,4.18
HATS-37 A b,31.47,6.79,0.049,4.33
HATS-38 b,23.52,6.88,0.050,4.38
HATS-39 b,200.23,17.60,0.060,4.58
HATS-3 b,361.69,19.02,0.050,3.55
HATS-40 b,505.35,17.71,0.050,3.26
HATS-41 b,3082.94,14.91,0.058,4.19
HATS-42 b,597.52,15.69,0.037,2.29
HATS-43 b,82.95,13.23,0.049,4.39
HATS-44 b,177.98,11.96,0.036,2.74
HATS-45 b,222.48,14.41,0.055,4.19
HATS-46 b,54.98,10.12,0.054,4.74
HATS-47 b,117.28,12.52,0.043,3.92
HATS-48 A b,77.23,8.97,0.038,3.13
HATS-49 b,112.19,8.57,0.045,4.15
HATS-4 b,420.49,11.43,0.036,2.52
HATS-50 b,123.95,12.67,0.050,3.83
HATS-51 b,244.09,15.80,0.046,3.35
HATS-52 b,711.94,15.49,0.025,1.37
HATS-53 b,189.11,15.02,0.048,3.85
HATS-54 b,241.55,11.96,0.038,2.54
HATS-55 b,292.72,14.02,0.054,4.20
HATS-56 b,286.68,18.92,0.060,4.32
HATS-57 b,1000.21,12.77,0.035,2.35
HATS-58 A b,327.36,12.27,0.058,4.22
HATS-59 b,256.17,12.62,0.061,5.42
HATS-5 b,75.33,10.22,0.054,4.76
HATS-60 b,210.40,12.92,0.047,3.56
HATS-61 b,1080.62,13.39,0.079,7.82
HATS-62 b,56.89,11.83,0.042,3.28
HATS-63 b,305.12,13.53,0.040,3.06
HATS-64 b,305.12,18.82,0.066,4.91
HATS-65 b,260.94,16.82,0.045,3.11
HATS-66 b,1694.03,15.82,0.047,3.14
HATS-67 b,460.85,18.89,0.030,1.61
HATS-68 b,410.00,13.81,0.051,3.59
HATS-69 b,183.39,10.59,0.032,2.23
HATS-6 b,101.39,11.19,0.036,3.33
HATS-70 b,4099.99,15.51,0.036,1.89
HATS-71 b,143.02,12.11,0.039,3.80
HATS-72 b,39.86,8.09,0.067,7.33
HATS-74A b,464.03,11.57,0.024,1.73
HATS-75 b,156.05,9.91,0.033,2.79
HATS-76 b,835.57,12.09,0.027,1.94
HATS-77 b,436.70,13.06,0.036,3.09
HATS-7 b,38.14,6.31,0.040,3.19
HATS-8 b,43.86,9.79,0.047,3.58
HATS-9 b,266.02,11.94,0.030,1.92
HD 106315 b,12.60,2.44,0.091,9.55
HD 106315 c,15.20,4.35,0.154,21.06
HD 107148 c,19.90,4.71,0.141,18.33
HD 107148 b,66.74,9.59,0.269,48.06
HD 108236 b,4.23,1.62,0.045,3.80
HD 108236 c,8.90,2.07,0.062,6.20
HD 108236 d,7.75,2.54,0.107,14.18
HD 108236 e,8.20,3.08,0.137,19.59
HD 108236 f,3.95,2.02,0.176,29.54
HD 110113 b,1446.12,2.05,0.035,2.54
HD 124330 b,238.37,14.01,0.860,270.66
HD 137496 b,4.04,1.31,0.027,1.62
HD 1397 b,131.90,11.50,0.110,11.54
HD 149026 b,113.15,8.05,0.043,2.88
HD 152843 b,11.56,3.41,0.105,11.63
HD 15337 b,7.51,1.64,0.052,4.76
HD 15337 c,8.11,2.39,0.127,17.18
HD 155193 b,238.37,14.01,1.040,352.65
HD 156668 c,31.50,6.16,1.570,811.30
HD 156668 b,4.13,1.87,0.050,4.65
HD 164922 e,10.52,3.23,0.229,41.76
HD 164922 c,13.00,3.67,0.341,75.74
HD 164922 b,116.00,13.34,2.160,1207.00
HD 164922 d,4.00,1.83,0.103,12.46
HD 17156 b,1014.19,12.27,0.162,21.22
HD 183579 b,19.70,3.55,0.133,17.47
HD 185603 b,1118.12,19.45,0.054,3.47
HD 189733 A b,361.69,12.76,0.031,2.22
HD 202772 A b,323.23,17.32,0.052,3.31
HD 207897 b,15.89,2.50,0.116,16.20
HD 209458 b,226.93,15.47,0.047,3.52
HD 213885 b,8.83,1.75,0.020,1.01
HD 219134 b,4.74,1.60,0.039,3.09
HD 219134 c,4.36,1.51,0.065,6.76
HD 219666 b,16.60,4.71,0.064,6.04
HD 221416 b,60.39,9.37,0.123,14.28
HD 24040 b,1226.82,13.00,4.920,3668.00
HD 24040 c,63.88,9.35,1.300,515.40
HD 260655 b,2.14,1.24,0.029,2.77
HD 260655 c,3.09,1.53,0.047,5.71
HD 2685 b,371.86,16.14,0.057,4.13
HD 28109 b,18.50,2.20,0.136,22.89
HD 331093 b,476.74,13.56,1.440,621.62
HD 332231 b,77.55,9.72,0.144,18.71
π Mensae c,4.82,2.14,0.068,6.27
HD 5278 b,7.79,2.45,0.120,14.34
HD 68988 b,626.12,13.45,0.070,6.28
